name,url,content
MANAGEMENT FOR OFFICE,http://www.darpa.mil/our_work/mto/personnel/,"[<p><h2><a href=""/Our_Work/MTO/Personnel/Dr__Avram_Bar-Cohen.aspx"">Dr. Avram Bar-Cohen</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:avram.bar-cohen@darpa.mil"">avram.bar-cohen@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Mr_Kerry_Bernstein.aspx"">Mr. Kerry Bernstein</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office (MTO)</span></div><span class=""block""><a href=""mailto:kerry.bernstein@darpa.mil"">kerry.bernstein@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Josh_Conway.aspx"">Dr. Josh Conway</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joshua.conway@darpa.mil"">joshua.conway@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Joseph_Cross.aspx"">Dr. Joseph Cross</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joseph.cross@darpa.mil"">joseph.cross@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Daniel_Green.aspx"">Dr. Daniel Green</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:daniel.green@darpa.mil"">daniel.green@darpa.mil</a></span></p>]"
Quantum Sensors,http://www.darpa.mil/Our_Work/DSO/Programs/Quantum-Assisted_Sensing_and_Readout_(QuASAR).aspx,"[<p>Typically, the performance of measurement devices is limited by deleterious effects such as thermal noise and vibration.  Notable exceptions are atomic clocks, which operate very near their fundamental limits. Driving devices to their physical limits will open new application spaces critical to future DoD systems.  Indeed, many defense-critical applications already require exceptionally precise time and frequency standards enabled only by atomic clocks.  The Global Positioning System (GPS) and the internet are two key examples. </p>, <p><p>Typically, the performance of measurement devices is limited by deleterious effects such as thermal noise and vibration.  Notable exceptions are atomic clocks, which operate very near their fundamental limits. Driving devices to their physical limits will open new application spaces critical to future DoD systems.  Indeed, many defense-critical applications already require exceptionally precise time and frequency standards enabled only by atomic clocks.  The Global Positioning System (GPS) and the internet are two key examples.</p>
<p>Measurement systems based on atomic physics benefit from the exquisite properties of the atom. Among these are (a) precise frequency transitions, (b) the ability to initialize, control, and readout the atomic state and (c) environmental isolation.  In addition, atomic properties are absolute, and do not “drift” over time.  In this sense, atoms are self-calibrated, making them ideal for precision sensing.</p>
<p>The Quantum-Assisted Sensing and Readout (QuASAR) program will build on established control and readout techniques from atomic physics to develop a suite of measurement tools that will be broadly applicable across disciplines, helping to address outstanding challenges in physics, materials and biological sciences.  QuASAR will push toward fundamental operating limits by developing atom and atom-like sensors that operate near the standard quantum limit (SQL), constructing hybrid quantum sensors that combine the optimal sensing and readout capabilities of disparate quantum systems and entangling multiple sensors/devices to operate below the SQL.  These types of devices will find broad application across the DoD, particularly in the areas of biological imaging, inertial navigation and robust global positioning systems.</p>
</p>, <p>Typically, the performance of measurement devices is limited by deleterious effects such as thermal noise and vibration.  Notable exceptions are atomic clocks, which operate very near their fundamental limits. Driving devices to their physical limits will open new application spaces critical to future DoD systems.  Indeed, many defense-critical applications already require exceptionally precise time and frequency standards enabled only by atomic clocks.  The Global Positioning System (GPS) and the internet are two key examples.</p>, <p>Measurement systems based on atomic physics benefit from the exquisite properties of the atom. Among these are (a) precise frequency transitions, (b) the ability to initialize, control, and readout the atomic state and (c) environmental isolation.  In addition, atomic properties are absolute, and do not “drift” over time.  In this sense, atoms are self-calibrated, making them ideal for precision sensing.</p>, <p>The Quantum-Assisted Sensing and Readout (QuASAR) program will build on established control and readout techniques from atomic physics to develop a suite of measurement tools that will be broadly applicable across disciplines, helping to address outstanding challenges in physics, materials and biological sciences.  QuASAR will push toward fundamental operating limits by developing atom and atom-like sensors that operate near the standard quantum limit (SQL), constructing hybrid quantum sensors that combine the optimal sensing and readout capabilities of disparate quantum systems and entangling multiple sensors/devices to operate below the SQL.  These types of devices will find broad application across the DoD, particularly in the areas of biological imaging, inertial navigation and robust global positioning systems.</p>]"
HPCS,http://www.darpa.mil/our_work/i2o/,"[<p>Please direct all media queries to <a href=""mailto:Outreach@DARPA.mil "">Outreach@darpa.mil</a> </p>]"
OMO Building Move,None,No project description available
Wound Stasis System,http://www.darpa.mil/Our_Work/BTO/Programs/Wound_Stasis_System_WSS.aspx,"[<p>Uncontrolled blood loss is the leading cause of death for warfighters on the battlefield, according to the U.S. Army Institute of Surgical Research. The vast majority of such fatalities are from wounds that are not accessible by combat medics for traditional treatments, like direct compression. For example, in the case of internal injuries to the abdominal cavity, medics can neither visualize the damage nor access it to provide treatment. As a result, rapid and uncontrolled blood loss often leads to death before transport from the battlefield to a surgical setting can occur.</p>, <p><p>Uncontrolled blood loss is the leading cause of death for warfighters on the battlefield, according to the <a href=""http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA480515"">U.S. Army Institute of Surgical Research</a>. The vast majority of such fatalities are from wounds that are not accessible by combat medics for traditional treatments, like direct compression. For example, in the case of internal injuries to the abdominal cavity, medics can neither visualize the damage nor access it to provide treatment. As a result, rapid and uncontrolled blood loss often leads to death before transport from the battlefield to a surgical setting can occur.</p>
<p>DARPA created the Wound Stasis System (WSS) program to pursue a stabilizing treatment that would keep injured warfighters alive until they could be delivered to a surgical setting. WSS began as a basic research program to identify biological mechanisms for distinguishing between healthy and wounded tissue, with the goal of controlling bleeding by binding to the wound. However, as part of that research, a program performer, Arsenal Medical, developed a foam that could itself serve as a treatment to control bleeding and achieve hemostasis. On the strength of these findings, WSS began to focus on the foam material as the primary hemostatic agent. </p>
<p>WSS now aims to develop a stasis material and delivery system, suitable for use by combat medics at the point of injury, to stabilize a wounded patient for medical transport. Such a system would effectively treat non-compressible wounds, regardless of geometry or location within the abdominal cavity, and would not require direct visualization of the wound by the medic. </p>
<p>The specific goals are to: </p>
<ol>
<li>Develop an agent to achieve rapid hemostasis and maintenance of that hemostasis for non-compressible, abdominal wounds; </li>
<li>Design and demonstrate a portable delivery system to transport sufficient wound stasis material to the wound site; and </li>
<li>Ensure that the hemostatic material can be easily removed in surgical settings. </li>
</ol>
<p>DARPA plans to continue WSS through approval of a prototype device by the U.S. Food and Drug Administration (FDA), and will cooperate with the FDA to ensure requirements for approval are fulfilled as rapidly as possible so that a wound stasis treatment can be fielded. To this end, work will continue on acute and chronic safety, biocompatibility, optimum dosing, delivery system design, and verification and validation of the final system. </p>
</p>, <p>Uncontrolled blood loss is the leading cause of death for warfighters on the battlefield, according to the <a href=""http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA480515"">U.S. Army Institute of Surgical Research</a>. The vast majority of such fatalities are from wounds that are not accessible by combat medics for traditional treatments, like direct compression. For example, in the case of internal injuries to the abdominal cavity, medics can neither visualize the damage nor access it to provide treatment. As a result, rapid and uncontrolled blood loss often leads to death before transport from the battlefield to a surgical setting can occur.</p>, <p>DARPA created the Wound Stasis System (WSS) program to pursue a stabilizing treatment that would keep injured warfighters alive until they could be delivered to a surgical setting. WSS began as a basic research program to identify biological mechanisms for distinguishing between healthy and wounded tissue, with the goal of controlling bleeding by binding to the wound. However, as part of that research, a program performer, Arsenal Medical, developed a foam that could itself serve as a treatment to control bleeding and achieve hemostasis. On the strength of these findings, WSS began to focus on the foam material as the primary hemostatic agent. </p>, <p>WSS now aims to develop a stasis material and delivery system, suitable for use by combat medics at the point of injury, to stabilize a wounded patient for medical transport. Such a system would effectively treat non-compressible wounds, regardless of geometry or location within the abdominal cavity, and would not require direct visualization of the wound by the medic. </p>]"
Bioinspired Photonics,None,No project description available
Plasma Sterilization of Wounds and Medical Devices,None,No project description available
Machine Reading,http://www.darpa.mil/Our_Work/I2O/Programs/Big_Mechanism.aspx,"[<p>Some of the systems that matter most to the Defense Department are very complicated. Ecosystems, brains and economic and social systems have many parts and processes, but they are studied piecewise, and their literatures and data are fragmented, distributed and inconsistent. It is difficult to build complete, explanatory models of complicated systems, and so effects in these systems that are brought about by many interacting factors are poorly understood.</p>, <p><p>Some of the systems that matter most to the Defense Department are very complicated. Ecosystems, brains and economic and social systems have many parts and processes, but they are studied piecewise, and their literatures and data are fragmented, distributed and inconsistent. It is difficult to build complete, explanatory models of complicated systems, and so effects in these systems that are brought about by many interacting factors are poorly understood.</p>
<p>Big mechanisms are large, explanatory models of complicated systems in which interactions have important causal effects. The collection of big data is increasingly automated, but the creation of big mechanisms remains a human endeavor made increasingly difficult by the fragmentation and distribution of knowledge. To the extent that the construction of big mechanisms can be automated, it could change how science is done.</p>
<p>The Big Mechanism program aims to develop technology to read research abstracts and papers to extract pieces of causal mechanisms, assemble these pieces into more complete causal models, and reason over these models to produce explanations. The domain of the program is cancer biology with an emphasis on signaling pathways.</p>
<p>Although the domain of the Big Mechanism program is cancer biology, the overarching goal of the program is to develop technologies for a new kind of science in which research is integrated more or less immediately—automatically or semi-automatically—into causal, explanatory models of unprecedented completeness and consistency. Cancer pathways are just one example of causal, explanatory models.</p>
<p>The Big Mechanism program will require new research and the integration of several technical areas, particularly statistical and knowledge-based Natural Language Processing (NLP); curation and ontology; systems biology and mathematical biology; representation and reasoning; and quite possibly other areas such as visualization, simulation, and statistical foundations of very large causal networks. Machine reading researchers will need to develop deeper semantics to represent the causal and often kinetic models described in research papers. Deductive inference and qualitative simulation will probably not be sufficient to model the complicated dynamics of signaling pathways and will need to be augmented or replaced by probabilistic and quantitative models. Classification and prediction will continue to be important, but causal explanation is primary. Extant databases and ontologies will provide top-down constraints on reading, assembly of big mechanisms and explanation.</p>
<p>The Broad Agency Announcement (BAA) for Big Mechanism is available at <a href=""http://go.usa.gov/BRNw"" target=""_blank"">http://go.usa.gov/BRNw</a>. DARPA is accepting proposals for the program until March 18, 2014 at 12 p.m. ET. For more information, please email <a href=""mailto:bigmechanism@darpa.mil"">bigmechanism@darpa.mil</a>.</p>
</p>, <p>Some of the systems that matter most to the Defense Department are very complicated. Ecosystems, brains and economic and social systems have many parts and processes, but they are studied piecewise, and their literatures and data are fragmented, distributed and inconsistent. It is difficult to build complete, explanatory models of complicated systems, and so effects in these systems that are brought about by many interacting factors are poorly understood.</p>, <p>Big mechanisms are large, explanatory models of complicated systems in which interactions have important causal effects. The collection of big data is increasingly automated, but the creation of big mechanisms remains a human endeavor made increasingly difficult by the fragmentation and distribution of knowledge. To the extent that the construction of big mechanisms can be automated, it could change how science is done.</p>, <p>The Big Mechanism program aims to develop technology to read research abstracts and papers to extract pieces of causal mechanisms, assemble these pieces into more complete causal models, and reason over these models to produce explanations. The domain of the program is cancer biology with an emphasis on signaling pathways.</p>]"
H1N1 Acceleration (Blue Angel),None,No project description available
AXIS(Advanced X-Ray Integrated Sources),None,No project description available
